SID,Familiarity,Trial,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
1,2,1,2,2,1,0,6357.03,1,unknown_female03.jpg
1,2,2,2,4,1,0,5074.45,1,unknown_male18.jpg
1,2,3,1,2,2,1,2951.22,1,unknown_female04.jpg
1,2,4,2,1,2,0,1915.16,4,unknown_female11.jpg
1,2,5,2,2,2,1,1394.97,4,unknown_male07.jpg
1,2,6,2,1,1,1,4896.78,1,unknown_male24.jpg
1,2,7,1,4,3,0,2480.14,4,unknown_male15.jpg
1,2,8,2,4,1,0,1822.36,1,unknown_male06.jpg
1,2,9,2,2,2,1,1859.31,4,unknown_male08.jpg
1,2,10,1,1,1,1,3616.87,4,unknown_female23.jpg
1,2,11,1,3,3,1,1837.04,1,unknown_male16.jpg
1,2,12,1,4,3,0,4358.66,3,unknown_female18.jpg
1,2,13,1,1,1,1,3737.22,1,unknown_male17.jpg
1,2,14,2,2,1,0,2054.84,1,unknown_female10.jpg
1,2,15,2,2,2,1,3378.63,4,unknown_female07.jpg
1,2,16,2,4,1,0,1628.83,1,unknown_female02.jpg
1,2,17,2,4,1,0,4055.77,1,unknown_female08.jpg
1,2,18,2,3,1,0,1897.14,1,unknown_female13.jpg
1,2,19,2,1,1,1,1244.67,1,unknown_male03.jpg
1,2,20,2,3,1,0,1788.88,1,unknown_male23.jpg
1,2,21,1,4,4,1,5514.23,4,unknown_female19.jpg
1,2,22,1,3,3,1,1355.28,4,unknown_female16.jpg
1,2,23,1,1,3,0,3081.39,3,unknown_female05.jpg
1,2,24,1,2,2,1,4324.85,1,unknown_male01.jpg
1,2,25,2,4,1,0,1166.59,1,unknown_female24.jpg
1,2,26,1,2,3,0,5779.61,1,unknown_female14.jpg
1,2,27,1,3,3,1,1302.74,4,unknown_female06.jpg
1,2,28,1,4,2,0,1526.57,4,unknown_male22.jpg
1,2,29,1,2,4,0,4212.96,1,unknown_male12.jpg
1,2,30,2,3,2,0,3052.9,1,unknown_male19.jpg
1,2,31,2,3,1,0,2290.4,4,unknown_female15.jpg
1,2,32,1,4,1,0,1895.15,1,unknown_female21.jpg
1,2,33,2,3,1,0,5097.27,1,unknown_male10.jpg
1,2,34,2,4,2,0,2909.84,4,unknown_male05.jpg
1,2,35,1,1,1,1,3109.27,1,unknown_male21.jpg
1,2,36,1,2,1,0,1123.99,1,unknown_male09.jpg
1,2,37,2,3,1,0,1270.02,1,unknown_female09.jpg
1,2,38,2,1,1,1,1161.7,1,unknown_female17.jpg
1,2,39,2,1,2,0,7603.37,2,unknown_male11.jpg
1,2,40,2,2,2,1,3913.62,4,unknown_male02.jpg
1,2,41,1,2,3,0,1759.81,2,unknown_female12.jpg
1,2,42,1,4,2,0,2991.55,2,unknown_male14.jpg
1,2,43,2,1,1,1,1562.51,4,unknown_female20.jpg
1,2,44,1,3,2,0,1174.54,4,unknown_male13.jpg
1,2,45,1,1,2,0,1896.04,1,unknown_male20.jpg
1,2,46,1,3,2,0,1178.91,1,unknown_female22.jpg
1,2,47,1,1,1,1,1407.62,4,unknown_female01.jpg
1,2,48,1,3,2,0,4110.97,2,unknown_male04.jpg
2,1,1,1,4,1,0,2346.47,3,famous_female06.jpg
2,1,2,2,4,2,0,3092.53,2,famous_female07.jpg
2,1,3,2,3,3,1,1121.6,4,famous_female09.jpg
2,1,4,2,4,4,1,1460.92,4,famous_female17.jpg
2,1,5,2,4,4,1,639.53,4,famous_male20.jpg
2,1,6,1,2,1,0,2527.39,2,famous_male11.jpg
2,1,7,2,3,3,1,1055.95,4,famous_female23.jpg
2,1,8,2,2,2,1,988.68,4,famous_male10.jpg
2,1,9,1,2,1,0,2067.05,1,famous_male23.jpg
2,1,10,2,1,1,1,904.12,4,famous_male12.jpg
2,1,11,1,1,3,0,3654.63,2,famous_female13.jpg
2,1,12,2,1,1,1,1249.16,4,famous_female10.jpg
2,1,13,2,4,4,1,1067.38,4,famous_female12.jpg
2,1,14,2,2,2,1,1315.2,4,famous_male01.jpg
2,1,15,1,3,1,0,1831.84,3,famous_female05.jpg
2,1,16,1,1,1,1,2186.24,2,famous_female24.jpg
2,1,17,1,3,3,1,1134.01,2,famous_male24.jpg
2,1,18,1,3,3,1,1782.21,3,famous_male07.jpg
2,1,19,2,2,2,1,934.18,4,famous_female04.jpg
2,1,20,2,4,1,0,1744.2,3,famous_male14.jpg
2,1,21,2,3,3,1,1037.9,4,famous_male13.jpg
2,1,22,1,2,1,0,2085.02,2,famous_female22.jpg
2,1,23,1,1,1,1,951.05,4,famous_male15.jpg
2,1,24,2,2,2,1,1060.07,3,famous_male17.jpg
2,1,25,1,4,4,1,2080.79,4,famous_female03.jpg
2,1,26,1,3,4,0,1176.47,3,famous_male16.jpg
2,1,27,1,4,2,0,3459.8,4,famous_female08.jpg
2,1,28,2,1,4,0,1823.98,2,famous_male02.jpg
2,1,29,2,2,2,1,836.85,3,famous_female15.jpg
2,1,30,2,1,2,0,4631,3,famous_female19.jpg
2,1,31,1,2,2,1,1631.83,2,famous_male05.jpg
2,1,32,2,2,2,1,1240.25,3,famous_female01.jpg
2,1,33,1,1,1,1,870.54,3,famous_male22.jpg
2,1,34,2,3,1,0,1036.66,3,famous_male03.jpg
2,1,35,2,1,1,1,1178.44,4,famous_male21.jpg
2,1,36,1,1,1,1,2726.16,3,famous_female21.jpg
2,1,37,2,3,3,1,1939.56,3,famous_male08.jpg
2,1,38,1,4,3,0,1123.22,2,famous_male04.jpg
2,1,39,1,1,1,1,2808.33,3,famous_male09.jpg
2,1,40,2,3,3,1,846.27,3,famous_female16.jpg
2,1,41,1,4,2,0,1082.29,2,famous_male18.jpg
2,1,42,1,4,2,0,1063.76,1,famous_male19.jpg
2,1,43,1,2,2,1,1604.84,2,famous_female14.jpg
2,1,44,1,3,3,1,3632.76,4,famous_female11.jpg
2,1,45,1,2,2,1,2216.35,3,famous_female18.jpg
2,1,46,1,3,3,1,2935.55,2,famous_female20.jpg
2,1,47,2,1,1,1,980.32,4,famous_female02.jpg
2,1,48,2,4,4,1,897.37,4,famous_male06.jpg
3,2,1,1,3,3,1,1620,3,unknown_female03.jpg
3,2,2,2,1,2,0,3616.8,2,unknown_female22.jpg
3,2,3,1,1,1,1,1287.27,4,unknown_male19.jpg
3,2,4,1,1,3,0,3019.78,1,unknown_female15.jpg
3,2,5,2,2,2,1,5101.17,1,unknown_female04.jpg
3,2,6,2,3,4,0,1969,2,unknown_female10.jpg
3,2,7,1,4,4,1,2300.7,2,unknown_female16.jpg
3,2,8,1,2,4,0,2332.91,3,unknown_female19.jpg
3,2,9,1,4,2,0,5615.52,2,unknown_female12.jpg
3,2,10,1,2,1,0,3803.14,2,unknown_female23.jpg
3,2,11,2,2,3,0,2377.36,2,unknown_male16.jpg
3,2,12,2,2,1,0,2363.02,1,unknown_male10.jpg
3,2,13,1,4,3,0,2827.86,2,unknown_male17.jpg
3,2,14,2,1,1,1,3642.96,2,unknown_male15.jpg
3,2,15,2,3,3,1,5929.56,1,unknown_female06.jpg
3,2,16,2,1,1,1,2782.61,2,unknown_female24.jpg
3,2,17,2,1,3,0,1328.26,2,unknown_male03.jpg
3,2,18,2,4,2,0,3354.49,1,unknown_male08.jpg
3,2,19,1,2,1,0,8326.96,1,unknown_female09.jpg
3,2,20,1,1,1,1,4405.42,2,unknown_male18.jpg
3,2,21,1,3,4,0,4780.41,2,unknown_male11.jpg
3,2,22,1,3,3,1,3918.12,2,unknown_female11.jpg
3,2,23,1,1,1,1,1792.77,3,unknown_male04.jpg
3,2,24,2,1,2,0,4436.16,1,unknown_male13.jpg
3,2,25,2,3,3,1,6758.75,1,unknown_male22.jpg
3,2,26,1,2,4,0,2443.73,1,unknown_male21.jpg
3,2,27,2,1,1,1,1762.75,3,unknown_female01.jpg
3,2,28,1,3,2,0,9834.81,1,unknown_male14.jpg
3,2,29,2,3,3,1,3163.97,3,unknown_male05.jpg
3,2,30,1,2,1,0,1427.95,2,unknown_male24.jpg
3,2,31,2,2,4,0,2735.56,2,unknown_female18.jpg
3,2,32,1,1,2,0,5669.39,2,unknown_female05.jpg
3,2,33,2,3,3,1,3701.33,1,unknown_female21.jpg
3,2,34,1,3,3,1,2428.66,2,unknown_male07.jpg
3,2,35,2,3,3,1,2300.15,2,unknown_male20.jpg
3,2,36,2,4,2,0,2998.24,2,unknown_female02.jpg
3,2,37,2,4,3,0,3860.67,1,unknown_female17.jpg
3,2,38,1,4,4,1,1691.19,2,unknown_male06.jpg
3,2,39,1,4,4,1,9369.91,2,unknown_male09.jpg
3,2,40,2,4,2,0,3352.28,1,unknown_male23.jpg
3,2,41,2,4,4,1,1455.7,4,unknown_female14.jpg
3,2,42,1,1,2,0,4211.92,2,unknown_female20.jpg
3,2,43,1,3,2,0,3498.8,2,unknown_female13.jpg
3,2,44,1,4,4,1,1765.18,4,unknown_female07.jpg
3,2,45,2,2,3,0,2985.44,1,unknown_male02.jpg
3,2,46,2,4,3,0,1660.03,1,unknown_male01.jpg
3,2,47,1,2,2,1,3463.34,3,unknown_male12.jpg
3,2,48,2,2,2,1,3148.71,1,unknown_female08.jpg
4,1,1,1,1,4,0,11875.34,2,famous_male13.jpg
4,1,2,2,3,3,1,4854.77,3,famous_female17.jpg
4,1,3,2,4,4,1,5587.38,4,famous_female19.jpg
4,1,4,1,4,4,1,1046.43,4,famous_male07.jpg
4,1,5,1,3,3,1,1912.71,4,famous_female24.jpg
4,1,6,2,2,2,1,3268.62,3,famous_male02.jpg
4,1,7,1,1,1,1,2046.35,4,famous_female07.jpg
4,1,8,1,2,2,1,1684.11,4,famous_male19.jpg
4,1,9,2,3,3,1,4742.31,2,famous_male18.jpg
